SMILES,Surfactant_Type,CMC,pCMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,C20,Temp_Celsius,Ref_CMC,Ref_AW_ST_CMC,SubRef_CMC,SubRef_AW_ST_CMC,Ref_Gamma_max,Ref_Pi_CMC,Ref_Area_min,Ref_pC20,Ref_C20
CCCCCCCCC[N+](CCCCC[N+](CCCCCCCCC)(CC(C)O)CC(C)O)(CC(C)O)CC(C)O.[Br-].[Br-],gemini cationic,0.00227,2.643974143,28,0.00000198,1.26,44,4.04,0.0000912,25,10.1016/j.colsurfa.2019.05.019,10.1016/j.ces.2022.118208,,10.1016/j.colsurfa.2019.05.019,10.1016/j.colsurfa.2019.05.019,10.1016/j.colsurfa.2019.05.019,10.1016/j.colsurfa.2019.05.019,10.1016/j.colsurfa.2019.05.019,
CCCCCCCCC[NH+](CCCCC[NH+](CCCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],gemini cationic,0.0245,1.610833916,25.7,0.00000216,1.15,46.3,3.04,0.000912,25,10.1016/j.colsurfa.2019.05.019,10.1016/j.ces.2022.118208,,10.1016/j.colsurfa.2019.05.019,10.1016/j.colsurfa.2019.05.019,10.1016/j.colsurfa.2019.05.019,10.1016/j.colsurfa.2019.05.019,10.1016/j.colsurfa.2019.05.019,
CCCCCCCCC[N+](CCO)(CCO)CCO.[Br-],cationic,0.00107,2.970616222,24.1,0.00000262,0.63,47.9,3.9,0.000126,25,10.1016/j.molliq.2016.11.105,10.1016/j.ces.2022.118208,,10.1016/j.molliq.2016.11.105,10.1016/j.molliq.2016.11.105,,,10.1016/j.molliq.2016.11.105,
CCCCCCCCC[N+](CCO)(CCO)CCO.[I-],cationic,0.00095,3.022276395,28.4,0.00000216,0.77,43.6,4.05,0.0000891,25,10.1016/j.molliq.2016.11.105,10.1016/j.ces.2022.118208,,10.1016/j.molliq.2016.11.105,10.1016/j.molliq.2016.11.105,,,10.1016/j.molliq.2016.11.105,
CCCCCCCCC[NH+](CCO)CCO.[Br-],cationic,0.00122,2.913640169,27.9,0.00000227,0.73,44.1,3.8,0.000158,25,10.1016/j.molliq.2016.11.105,10.1016/j.ces.2022.118208,,10.1016/j.molliq.2016.11.105,10.1016/j.molliq.2016.11.105,,,10.1016/j.molliq.2016.11.105,
CCCCCCCCC[NH+](CCO)CCO.[I-],cationic,0.0011,2.958607315,28.8,0.00000214,0.78,43.2,3.87,0.000135,25,10.1016/j.molliq.2016.11.105,10.1016/j.ces.2022.118208,,10.1016/j.molliq.2016.11.105,10.1016/j.molliq.2016.11.105,,,10.1016/j.molliq.2016.11.105,
CCCCCCCCC[N+]1(CCC#CCC[N+]2(CCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],gemini cationic,0.034403292,1.4634,,,,,,,25,10.1016/j.chemosphere.2011.05.031,,,,,,,,
CCCCCCCCC[N+]1(CCC#CCC[N+]2(CCCCCCCCC)CCCCC2)CCCCC1.[Br-].[Br-],gemini cationic,0.04779693,1.3206,,,,,,,25,10.1016/j.chemosphere.2011.05.031,,,,,,,,
CCCCCCCCC[NH2+]CCO.[Br-],cationic,0.00145,2.838631998,30,0.00000145,1.15,42,4.4,0.0000398,25,10.1016/j.molliq.2016.11.105,10.1016/j.ces.2022.118208,,10.1016/j.molliq.2016.11.105,10.1016/j.molliq.2016.11.105,,,10.1016/j.molliq.2016.11.105,
CCCCCCCCC[NH2+]CCO.[I-],cationic,0.00215,2.66756154,30.6,0.00000153,1.09,41.4,4.27,0.0000537,25,10.1016/j.molliq.2016.11.105,10.1016/j.ces.2022.118208,,10.1016/j.molliq.2016.11.105,10.1016/j.molliq.2016.11.105,,,10.1016/j.molliq.2016.11.105,
