SMILES,type,temp,pCMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,fold
CCCCCCCCCCCCN(CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO)CCN(CCCCCCCCCCCC)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO,sugar-based non-ionic,25.0,5.283996656,33.0,2.51e-06,0.66,39.0,6.6,4.0
CCCCCCCCCCSC1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O,sugar-based non-ionic,20.0,4.638272164,29.5,4.95e-06,0.34,43.25,5.4,0.0
CCCCCCCCCCSC[C@H](O)[C@H](O)[C@@H](O)CO,sugar-based non-ionic,20.0,3.397940009,28.2,3.63e-06,0.46,44.55,5.4,0.0
CCCCCCCCSC(O)[C@H]1OC(=O)[C@@H](O)[C@@H]1O,sugar-based non-ionic,20.0,3.318758763,24.1,4.38e-06,0.38,48.65,4.7,6.0
CCCCCCCCSC[C@@H](O)[C@@H](O)[C@@H](O)CO,sugar-based non-ionic,20.0,3.420216403,34.8,3.75e-06,0.44,37.95,5.6,7.0
CCCCCCCCSC[C@@H](O)[C@@H](O)[C@H](O)CO,sugar-based non-ionic,20.0,2.744727495,29.3,3.94e-06,0.42,43.45,5.2,7.0
CCCCCCCCSC[C@H](O)[C@H](O)[C@@H](O)CO,sugar-based non-ionic,20.0,2.920818754,33.0,3.59e-06,0.46,39.75,5.4,7.0
CCCCCCSC(O)[C@H]1OC(=O)[C@@H](O)[C@@H]1O,sugar-based non-ionic,20.0,2.173925197,25.1,3.35e-06,0.5,47.65,3.4,2.0
CCCCCCSC1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O,sugar-based non-ionic,20.0,2.301029996,26.3,4.12e-06,0.4,46.45,3.4,2.0
CCCCCCSC[C@@H](O)[C@@H](O)[C@@H](O)CO,sugar-based non-ionic,20.0,1.991399828,27.2,2.52e-06,0.66,45.55,3.3,2.0
CCCCCCSC[C@@H](O)[C@@H](O)[C@H](O)CO,sugar-based non-ionic,20.0,1.744727495,30.0,2.51e-06,0.66,42.75,3.3,2.0
CCCCCCSC[C@H](O)[C@H](O)[C@@H](O)CO,sugar-based non-ionic,20.0,1.920818754,28.2,2.33e-06,0.71,44.55,3.7,2.0
CCCCCCCCOC[C@@H](O)CO,sugar-based non-ionic,25.0,2.236572006,24.5,5.2e-06,0.32,47.47,3.162903466,6.0
CCCCCCCCSC1OC(CO)C(O)C(O)C1O,sugar-based non-ionic,20.0,2.070581074,28.7,3.06e-06,0.59,44.9,3.427070689,7.0
CCCCCCCCCCCC(=O)OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,sugar-based non-ionic,22.0,3.48148606,39.0,3.3e-06,0.5,39.0,4.178527345,5.0
CCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,sugar-based non-ionic,20.0,2.161150909,30.4,3.61e-06,0.46,42.35,3.227080522,3.0
CCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1N,sugar-based non-ionic,25.0,2.15490196,30.2,3.61e-06,0.46,41.77,3.212660048,3.0
CCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1N,sugar-based non-ionic,25.0,1.638272164,32.5,3.46e-06,0.48,39.47,2.625450409,6.0
CCCCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,sugar-based non-ionic,22.0,3.769551079,35.3,3.32e-06,0.5,35.8,4.659586881,4.0
CCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,sugar-based non-ionic,25.0,2.698970004,35.6,2.97e-06,0.56,36.4,3.666188209,9.0
CCCCCCCCCCC(=O)OC(O)[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,sugar-based non-ionic,20.0,3.022276395,44.1,2.48e-06,0.67,28.65,3.589765318,8.0
CCCCCCCCCCC(=O)OC(O)[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,sugar-based non-ionic,20.0,3.337242168,37.4,2.97e-06,0.56,35.35,4.212988617,8.0
CCCCCCCCCCCC(=O)OC(O)[C@H]1O[C@H](OC[C@H]2O[C@H](OC[C@H]3O[C@H](O[C@]4(CO)O[C@H](CO)[C@@H](O)[C@@H]4O)[C@H](O)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,sugar-based non-ionic,20.0,2.638272164,43.0,2.31e-06,0.72,29.75,3.332356923,8.0
CCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,sugar-based non-ionic,20.0,3.83564714421556,34.2,4.78e-06,0.42,37.6,4.78,4.0
CCCCCC(CCCC)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,sugar-based non-ionic,25.0,1.823908741,25.1,3.02e-06,0.55,46.87,3.384116381,2.0
CCCCCCC(CCC)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,sugar-based non-ionic,25.0,1.920818754,26.0,3.08e-06,0.54,45.97,3.399449372,3.0
CCCCCCCC(CC)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,sugar-based non-ionic,25.0,2.070581074,27.0,3.13e-06,0.53,44.97,3.469629459,3.0
CCCCCCCC/C=C\CCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,sugar-based non-ionic,25.0,4.37675071,,,,,,4.0
CCCCCCCCC(=O)N(C)C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,sugar-based non-ionic,25.0,1.677780705,,,,,,4.0
CCCCCCCCC(C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,sugar-based non-ionic,25.0,2.346787486,28.0,3.26e-06,0.51,43.97,3.636315274,4.0
CCCCCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,sugar-based non-ionic,25.0,2.744727495,26.0,,,45.97,,9.0
CCCCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,sugar-based non-ionic,25.0,2.356547324,25.4,,,46.57,,3.0
CCCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,sugar-based non-ionic,25.0,1.744727495,28.6,,,43.37,,5.0
CCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,sugar-based non-ionic,25.0,2.0,30.0,,,41.97,,0.0
CCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,sugar-based non-ionic,25.0,1.236572006,33.2,,,38.77,,0.0
CCCCCCOC([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,sugar-based non-ionic,25.0,2.026872146,,,,,,1.0
CCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,sugar-based non-ionic,25.0,0.920818754,30.0,,,41.97,,3.0
CCCCCOC([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,sugar-based non-ionic,25.0,1.420216403,,,,,,3.0
CCCCCSCC(O)C(O)C(O)CO,sugar-based non-ionic,25.0,1.337242168,,,,,,4.0
CCCCOC([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,sugar-based non-ionic,25.0,1.236572006,,,,,,4.0
CCCCSC([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,sugar-based non-ionic,25.0,0.744727495,,,,,,5.0
O[C@@H]([C@@H](O[C@@H]([C@H](O)[C@@H](O)[C@H](OCCNC(CCCCCCC/C=C/CCCCCCCC)=O)O1)[C@H]1CO)O2)[C@@H](O)[C@H](O)[C@H]2CO,sugar-based non-ionic,25.0,4.045757491,,,,,,4.0
O[C@H]1[C@H](O[C@H](CO)[C@@H](O)[C@@H]1O)O[C@H]2[C@@H]([C@H]([C@@H](O[C@@H]2CO)OCCCCCCCC/C=C/CCCCCCCC)O)O,sugar-based non-ionic,25.0,4.698970004,,,,,,4.0
CCCCCCC(=O)OCC(O)C(O)C(O)CO,sugar-based non-ionic,25.0,2.0,,,,,,2.0
CCCCCCCC/C=C/CCCCCCCC(=O)O[C@@]1(OC2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,sugar-based non-ionic,25.0,5.292429824,,,,,,3.0
CCCCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,sugar-based non-ionic,25.0,3.721246399,,,,,,4.0
CCCCCCCCCCC(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,sugar-based non-ionic,25.0,2.657972312,,,,,,9.0
CCCCCCCCCCCCC(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,sugar-based non-ionic,25.0,3.721017883,,,,,,3.0
CCCCCCCCCCCCC(O)[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,sugar-based non-ionic,25.0,3.469032318,,,,,,3.0
CCCCCCCCCCCCOCOC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,sugar-based non-ionic,25.0,3.638083381,,,,,,5.0
CCCCCCCCCCCCOCOC[C@H]1O[C@@H](O[C@@H]([C@H](O)[C@@H](O)CO)[C@H](O)CO)[C@H](O)[C@@H](O)[C@H]1O,sugar-based non-ionic,25.0,3.369979149,,,,,,5.0
CCCCCCCCCCCCOCOC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,sugar-based non-ionic,25.0,3.369979149,,,,,,5.0
CCCCCCCCCCOC1[CH][C@H](O)[C@@H](O)C(O)O1,sugar-based non-ionic,25.0,3.091997799,,,,,,9.0
CCCCCCCCCOC1[CH][C@H](O)[C@@H](O)C(O)O1,sugar-based non-ionic,25.0,2.677987561,,,,,,3.0
CCCCCCCCCOCOC1[CH][C@H](O)[C@@H](O)C(O)O1,sugar-based non-ionic,25.0,2.744968837,,,,,,3.0
CCCCCCCCOC1[CH][C@H](O)[C@@H](O)C(O)O1,sugar-based non-ionic,25.0,2.173990022,,,,,,5.0
CCCCCCCCOCOC(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,sugar-based non-ionic,25.0,2.795880017,,,,,,6.0
CCCCCCCCOCOC1[CH][C@H](O)[C@@H](O)C(O)O1,sugar-based non-ionic,25.0,2.357041121,,,,,,6.0
CCCCCCCCOCOC[C@H]1O[C@@H](O[C@@H]([C@H](O)[C@@H](O)CO)[C@H](O)CO)[C@H](O)[C@@H](O)[C@H]1O,sugar-based non-ionic,25.0,2.560983272,,,,,,6.0
CCCCCCCCOCOC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,sugar-based non-ionic,25.0,2.580044252,,,,,,6.0
CCCCCCCOC1[CH][C@H](O)[C@@H](O)C(O)O1,sugar-based non-ionic,25.0,2.03602339,,,,,,0.0
CCCCCCOCC(O)C(O)C(O)CO,sugar-based non-ionic,25.0,2.027010773,,,,,,1.0
CCCCCCOCOC1[CH][C@H](O)[C@@H](O)C(O)O1,sugar-based non-ionic,25.0,2.0,,,,,,1.0
CCCCCCCCCCC(C(=O)[O-])[n+]1ccccc1,zwitterionic,25.0,2.283996656,39.9,3.59e-06,0.462545701,32.1,,8.0
CCCCCCCCCCCCC(C(=O)[O-])[n+]1ccccc1,zwitterionic,25.0,3.22184875,37.0,3.57e-06,0.465136994,35.0,,2.0
CCCCCCCCCCCCCCCC[N+](C)(C)CC(=O)[O-],zwitterionic,23.0,4.698970004,32.3,4.13e-06,0.402067571,39.7,,0.0
CCCCCCCCCCCCCC[N+](C)(C)CC(=O)[O-],zwitterionic,23.0,3.657577319,34.5,3.53e-06,0.470407668,37.5,,2.0
CCCCCCCCCCCC[N+](C)(C)CC(=O)[O-],zwitterionic,23.0,2.698970004,33.24,3.57e-06,0.465136994,36.3,,6.0
CCCCCCCCCC[N+](C)(C)CC(=O)[O-],zwitterionic,23.0,1.744727495,37.0,4.15e-06,0.400129896,39.7,,0.0
CCCCCCCCC(C(=O)[O-])[N+](C)(C)C,zwitterionic,27.0,1.013228266,,,,,,4.0
CCCCCCCCCCC(C(=O)[O-])[N+](C)(C)C,zwitterionic,27.0,1.886056648,,,,,,8.0
CCCCCCCCCCCCC(C(=O)[O-])[N+](C)(C)C,zwitterionic,27.0,2.886056648,,,,,,2.0
CCCCCCCCCCCC[N+](C)(C)[O-],zwitterionic,27.0,2.677780705,,,,,,7.0
CCCCCCCCCC[N+](C)(C)CCCC(=O)[O-],zwitterionic,25.0,2.337242168,,,,,,0.0
CCCCCCCCCC[N+](C)(C)CCCCCCCC(=O)[O-],zwitterionic,25.0,2.823908741,,,,,,0.0
CCCCCCCC[N+](C)(C)CC(=O)[O-],zwitterionic,25.0,0.602059991,,,,,,7.0
CCCCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCC,zwitterionic,25.0,5.2291,,,,,,7.0
CCCCCCCCCCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCC,zwitterionic,25.0,5.3188,,,,,,7.0
CCCCCCCCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCC,zwitterionic,25.0,5.301,,,,,,0.0
CCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCC,zwitterionic,25.0,5.0969,,,,,,2.0
CCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCCCC,zwitterionic,25.0,5.2596,,,,,,2.0
CCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCCCCCC,zwitterionic,25.0,5.1549,,,,,,2.0
CCCCCCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCC,zwitterionic,25.0,5.2147,,,,,,2.0
CCCCCCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCC,zwitterionic,25.0,5.2757,,,,,,2.0
CCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCC,zwitterionic,25.0,4.7447,,,,,,5.0
CCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCCCCCC,zwitterionic,25.0,5.0458,,,,,,5.0
CCCCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCC,zwitterionic,25.0,4.8539,,,,,,7.0
CCCCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCC,zwitterionic,25.0,4.8861,,,,,,7.0
CCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCC,zwitterionic,25.0,4.0,,,,,,9.0
CCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCC,zwitterionic,25.0,3.9586,,,,,,1.0
CCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCC,zwitterionic,25.0,3.0,,,,,,6.0
CCCCCCCCCCCCOCC(O)C[N+](C)(C)CC(O)COCCCCCCCCCCCC.COS(=O)(=O)[O-],zwitterionic,25.0,3.818156412,28.9,,,43.07,,7.0
CCCCCCCCCCCCOCC(C[N+](C)(C)CC(COCCCCCCCCCCCC)OCCO)OCCO.COS(=O)(=O)[O-],zwitterionic,25.0,3.045275209,28.6,,,43.18,,7.0
CCCCCCCCCCCCOCC(C[N+](C)(C)CC(COCCCCCCCCCCCC)OCCOCCOCCO)OCCOCCO.COS(=O)(=O)[O-],zwitterionic,25.0,3.308034897,32.2,,,39.58,,7.0
CCCCCCCCCCCC[N+](C)(C)CCCC(=O)[O-],zwitterionic,25.0,2.337242168,,,,,,6.0
CCCCCCCCCCCC[N+](C)(C)CCCCCC(=O)[O-],zwitterionic,25.0,2.585026652,,,,,,6.0
CCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],zwitterionic,25.0,2.522878745,,,,,,7.0
CCCCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],zwitterionic,25.0,3.494850022,,,,,,2.0
CCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],zwitterionic,,,40.4,,,,,5.0
CCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],zwitterionic,,,37.8,,,,,5.0
CCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],zwitterionic,,,37.3,,,,,6.0
CCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],zwitterionic,,,37.3,,,,,8.0
CCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],zwitterionic,,,25.4,,,,,6.0
CCCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],zwitterionic,,,25.2,,,,,6.0
CCCCCCCCCCCC1=[N+](CCO)CCN1.O=C([O-])O,zwitterionic,,,29.0,,,,,9.0
CCCCCCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],zwitterionic,,,26.4,,,,,6.0
CCCCCCCCCCCCCC1=[N+](CCO)CCN1.O=C([O-])O,zwitterionic,,,28.1,,,,,9.0
CCCCCCCCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],zwitterionic,,,31.7,,,,,6.0
CCCCCCCCCCCCCCCC1=[N+](CCO)CCN1.O=C([O-])O,zwitterionic,,,36.4,,,,,9.0
CCCCCCCCCCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],zwitterionic,,,35.8,,,,,7.0
CCCCCCCCCCCCCCCCCC(=O)OCC[N+](C)(CCO)CCOC(=O)CCCCCCCCCCCCCCCCC.COS(=O)(=O)[O-],zwitterionic,,,30.0,,,,,7.0
CCCCCCCCCCCC[N+](C)(C)C.COS(=O)(=O)[O-],zwitterionic,,,38.3,,,,,8.0
